(38700,12954) 
(7986,32757) 
(16743,9923) 
(33504,16703) 
(2399,30030) 
(35260,29738) 
(35138,29324) 
(39899,15651) 
(26727,2413) 
(16587,14044) 
(2735,18512) 
(26523,15146) 
(31312,32309) 
(32142,24951) 
(5143,29) 
(25602,29150) 
(34105,1376) 
(34845,28215) 
(25644,8405) 
(11173,39668) 
(21067,17922) 
(34298,18583) 
(29397,27795) 
(32387,28739) 
(6446,34235) 
(29531,31499) 
(31180,26917) 
(24324,14176) 
(28197,12058) 
(12596,26108) 
(25528,35609) 
(32065,21467) 
(28747,8772) 
(21178,37737) 
(13170,26264) 
(17021,27339) 
(5178,22032) 
(29305,3575) 
(13798,7742) 
(27499,20485) 
(2407,23513) 
(35140,27692) 
(34122,22145) 
(24965,20094) 
(31368,29112) 
(17334,8409) 
(16203,12084) 
(15071,37354) 
(3736,20917) 
(15594,2644) 
(39426,4656) 
(36937,35490) 
(22142,38284) 
(18584,23912) 
(11171,12275) 
(4096,16017) 
(10359,1630) 
(4999,5406) 
(10111,27989) 
(16178,31420) 
(6379,9316) 
(17981,32105) 
(7485,5774) 
(26741,35085) 
(22179,31792) 
(31952,4076) 
(35198,25214) 
(12435,26127) 
(16753,35278) 
(23254,9734) 
(28605,7234) 
(35334,10543) 
(23645,39207) 
(1985,5741) 
(38964,6919) 
(15675,39135) 
(28337,15078) 
(9968,17351) 
(19165,33209) 
(15834,5584) 
(12988,18627) 
(4295,2418) 
(19552,26519) 
(18628,20506) 
(29047,4498) 
(17533,17906) 
(28073,25556) 
(26237,31388) 
(8591,6807) 
(15175,2464) 
(22020,24339) 
(11377,18513) 
(16627,26248) 
(10673,31126) 
(39543,6906) 
(5716,21336) 
(39859,28279) 
(39417,13515) 
(4410,29081) 
(36869,16212) 
(28555,14814) 
(28450,37482) 
(25810,5204) 
(16064,4529) 
(18417,36111) 
(19647,39201) 
(2123,3480) 
(35206,25044) 
(32563,165) 
(29766,23020) 
(33206,637) 
(2600,12088) 
(38408,24767) 
(36175,17010) 
(34006,9221) 
(6250,2259) 
(19765,20075) 
(2289,34992) 
(7656,34759) 
(5670,674) 
(2545,36718) 
(29278,23286) 
(31571,2046) 
(28388,18181) 
(34026,30279) 
(29610,30182) 
(1693,3026) 
(9549,21862) 
(31327,6934) 
(19157,12168) 
(39049,7893) 
(6302,36091) 
(24238,26550) 
(7094,22179) 
(28984,21818) 
(16128,2689) 
(39353,9730) 
(1475,32677) 
(10941,11582) 
(38179,16087) 
(32013,9660) 
(7513,32353) 
(34658,13031) 
(38436,15233) 
(8242,9445) 
